,cliques,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc,edges,nodes,density
23275,5,8,56,1,3,4,17976.948828125,17023.22265625,0.9776785714285715,0.9894770408163265,280,40,0.358974358974359
24909,5,8,56,2,5,128,27538.71953125,25307.6796875,0.9776785714285714,0.9904336734693877,280,40,0.358974358974359
18271,4,8,32,2,1,4,4646.97607421875,4157.5908203125,0.9775999999999998,0.9856,128,32,0.25806451612903225
10127,3,8,24,1,1,8,6783.55126953125,6468.08447265625,0.9775510204081632,1.0,72,24,0.2608695652173913
23182,5,8,40,1,1,256,8622.6162109375,8126.13818359375,0.9775,0.989375,200,40,0.2564102564102564
23290,5,8,56,1,5,256,26005.38125,23974.33203125,0.977295918367347,0.9862882653061225,280,40,0.358974358974359
23180,5,8,40,1,1,64,8608.390234375,8090.5107421875,0.977125,0.989375,200,40,0.2564102564102564
23194,5,8,40,1,5,4,25742.653125,23412.310546875,0.9771249999999998,0.9875,200,40,0.2564102564102564
23181,5,8,40,1,1,128,8612.8603515625,8108.0322265625,0.976875,0.989375,200,40,0.2564102564102564
23178,5,8,40,1,1,16,8600.206640625,8063.19970703125,0.97675,0.98875,200,40,0.2564102564102564
23179,5,8,40,1,1,32,8603.6880859375,8083.46875,0.9765,0.98875,200,40,0.2564102564102564
3712,2,8,32,1,5,32,15709.713671875,14733.2099609375,0.976388888888889,1.0,64,16,0.5333333333333333
26498,5,8,48,3,9,8,43873.92734375,40226.8046875,0.9763020833333333,0.9856770833333334,240,40,0.3076923076923077
24796,5,8,40,2,1,4,8857.057421875,8398.5107421875,0.9761249999999999,0.9918750000000001,200,40,0.2564102564102564
26537,5,8,56,3,7,64,37184.57734375,35355.7734375,0.9760841836734695,0.998405612244898,280,40,0.358974358974359
26524,5,8,56,3,5,4,27210.95234375,25846.720703125,0.9758928571428573,0.9897959183673469,280,40,0.358974358974359
23289,5,8,56,1,5,128,24915.131640625,24210.14453125,0.9758928571428571,0.9846938775510203,280,40,0.358974358974359
18714,4,12,56,2,9,16,46286.5390625,41874.62109375,0.9758264462809917,0.9953512396694215,224,48,0.19858156028368795
23287,5,8,56,1,5,32,25609.14296875,24179.373046875,0.9757653061224492,0.9875637755102041,280,40,0.358974358974359
21926,4,12,56,4,3,8,22030.66484375,17467.376953125,0.9757231404958677,0.9901859504132231,224,48,0.19858156028368795
18712,4,12,56,2,9,4,46554.07578125,41573.48828125,0.975206611570248,0.9948347107438016,224,48,0.19858156028368795
24751,5,8,32,2,1,4,8097.34833984375,7720.89453125,0.9751953125,0.994140625,160,40,0.20512820512820512
16608,4,8,24,1,1,16,5051.1787109375,3894.73681640625,0.9750692520775622,0.9916897506925207,96,32,0.1935483870967742
11792,3,8,32,2,1,8,6819.10771484375,6400.3935546875,0.9750692520775622,0.9889196675900278,96,24,0.34782608695652173
3714,2,8,32,1,5,128,15708.535546875,14734.248046875,0.975,1.0,64,16,0.5333333333333333
3713,2,8,32,1,5,64,15706.8728515625,14730.115234375,0.975,1.0,64,16,0.5333333333333333
3716,2,8,32,1,5,512,15706.573046875,14725.8359375,0.975,1.0,64,16,0.5333333333333333
24752,5,8,32,2,1,8,8084.68701171875,7712.388671875,0.975,1.0,160,40,0.20512820512820512
24908,5,8,56,2,5,64,26958.908203125,25463.484375,0.9748086734693878,0.995216836734694,280,40,0.358974358974359
3835,2,8,56,1,3,4,12195.75390625,11481.083984375,0.974793388429752,0.9896694214876033,112,16,0.9333333333333333
23177,5,8,40,1,1,8,8615.825390625,8092.16455078125,0.9747499999999999,0.98875,200,40,0.2564102564102564
24910,5,8,56,2,5,256,26625.13203125,25268.314453125,0.9744897959183675,0.9920280612244897,280,40,0.358974358974359
10262,3,8,48,1,1,8,7142.91025390625,6714.93017578125,0.974234693877551,0.9910714285714286,144,24,0.5217391304347826
19994,4,8,48,3,3,64,15545.80390625,8655.3955078125,0.9740997229916898,0.9930747922437673,192,32,0.3870967741935484
26540,5,8,56,3,7,512,37746.39609375,35636.15234375,0.9739795918367345,0.9958545918367346,280,40,0.358974358974359
