,cliques,density,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc
33,1,0.6666666666666666,16,80,1,9,4,26357.59765625,24338.224609375,0.4953125,0.64453125
34,1,0.6666666666666666,16,80,1,9,8,26364.09453125,24348.89453125,0.465625,0.57421875
35,1,0.6666666666666666,16,80,1,9,16,26366.534375,24350.26171875,0.48671875,0.6875
36,1,0.6666666666666666,16,80,1,9,32,26366.61953125,24350.1484375,0.49609375,0.734375
37,1,0.6666666666666666,16,80,1,9,64,26363.34765625,24342.6328125,0.4921875,0.6328125
38,1,0.6666666666666666,16,80,1,9,128,26359.40234375,24344.94921875,0.48671875,0.57421875
39,1,0.6666666666666666,16,80,1,9,256,26362.3546875,24347.419921875,0.490625,0.55078125
40,1,0.42105263157894735,20,80,1,1,2,4673.580859375,4355.61572265625,0.7140625,0.76953125
41,1,0.42105263157894735,20,80,1,1,4,4656.2859375,4348.66259765625,0.671875,0.78125
42,1,0.42105263157894735,20,80,1,1,8,4645.10693359375,4341.341796875,0.66328125,0.78125
43,1,0.42105263157894735,20,80,1,1,16,4636.22822265625,4335.0458984375,0.65390625,0.79296875
44,1,0.42105263157894735,20,80,1,1,32,4635.3841796875,4335.73388671875,0.66953125,0.796875
45,1,0.42105263157894735,20,80,1,1,64,4636.607421875,4335.13818359375,0.6640625,0.79296875
46,1,0.42105263157894735,20,80,1,1,128,4634.1466796875,4334.60595703125,0.66484375,0.80859375
47,1,0.42105263157894735,20,80,1,1,256,5280.46435546875,4354.841796875,0.659375,0.8125
48,1,0.42105263157894735,20,80,1,3,2,8649.6828125,8114.986328125,0.6765625,0.7421875
49,1,0.42105263157894735,20,80,1,3,4,11197.807421875,8083.7841796875,0.584375,0.75
50,1,0.42105263157894735,20,80,1,3,8,9999.61640625,8086.017578125,0.55234375,0.7109375
51,1,0.42105263157894735,20,80,1,3,16,13351.078515625,8267.841796875,0.490625,0.71875
52,1,0.42105263157894735,20,80,1,3,32,12448.9193359375,8004.0673828125,0.48125,0.69921875
53,1,0.42105263157894735,20,80,1,3,64,14613.9396484375,7995.02294921875,0.496875,0.6953125
54,1,0.42105263157894735,20,80,1,3,128,12302.276171875,8386.4306640625,0.48203125,0.703125
55,1,0.42105263157894735,20,80,1,3,256,14615.8720703125,8277.634765625,0.5015625,0.6796875
56,1,0.42105263157894735,20,80,1,5,2,19731.0572265625,11901.8544921875,0.51171875,0.62109375
57,1,0.42105263157894735,20,80,1,5,4,21050.571484375,12400.2568359375,0.48203125,0.59765625
58,1,0.42105263157894735,20,80,1,5,8,21048.695703125,12286.8955078125,0.396875,0.60546875
59,1,0.42105263157894735,20,80,1,5,16,21037.1234375,12062.439453125,0.4203125,0.58984375
60,1,0.42105263157894735,20,80,1,5,32,17975.1599609375,11993.333984375,0.425,0.59375
61,1,0.42105263157894735,20,80,1,5,64,21044.408203125,12091.91796875,0.4265625,0.60546875
62,1,0.42105263157894735,20,80,1,5,128,21046.480859375,12280.4345703125,0.41796875,0.60546875
63,1,0.42105263157894735,20,80,1,5,256,21043.505078125,13075.947265625,0.4203125,0.609375
64,1,0.42105263157894735,20,80,1,7,2,26278.28984375,14451.8857421875,0.45625,0.55859375
65,1,0.42105263157894735,20,80,1,7,4,26270.097265625,15982.546875,0.38203125,0.5703125
66,1,0.42105263157894735,20,80,1,7,8,26275.309375,15846.96484375,0.40234375,0.5625
67,1,0.42105263157894735,20,80,1,7,16,26247.9734375,15861.83203125,0.41015625,0.59765625
68,1,0.42105263157894735,20,80,1,7,32,26274.35703125,15105.6943359375,0.40625,0.5859375
69,1,0.42105263157894735,20,80,1,7,64,24205.143359375,15447.755859375,0.41015625,0.59375
70,1,0.42105263157894735,20,80,1,7,128,26256.1796875,23709.96484375,0.409375,0.59375
71,1,0.42105263157894735,20,80,1,7,256,26265.207421875,23700.427734375,0.41796875,0.59375
72,1,0.42105263157894735,20,80,1,9,2,31133.5828125,19207.021484375,0.41796875,0.61328125
73,1,0.42105263157894735,20,80,1,9,4,31219.3234375,18281.173828125,0.38046875,0.703125
74,1,0.42105263157894735,20,80,1,9,8,28941.767578125,18823.166015625,0.3609375,0.63671875
75,1,0.42105263157894735,20,80,1,9,16,29123.426171875,18646.8984375,0.3296875,0.640625
76,1,0.42105263157894735,20,80,1,9,32,31222.12265625,17261.693359375,0.3375,0.6796875
77,1,0.42105263157894735,20,80,1,9,64,31227.204296875,19862.28125,0.34609375,0.66015625
78,1,0.42105263157894735,20,80,1,9,128,31223.01796875,19092.7578125,0.34921875,0.66796875
79,1,0.42105263157894735,20,80,1,9,256,31209.33125,18700.220703125,0.35234375,0.6796875
